Naziv knjige,Autor,Predložio,Korice,Epizoda,Prevod
"Ne pristajte na manje ","Kris Vos ",Petar Kosovac,https://www.delfi.rs/_img/artikli/2020/07/ne_pristajte_na_manje_vv.jpg,https://youtu.be/PedyNlRwOFI,Yes
8. navika,Stiven Kavi,Miša Lukić,https://www.delfi.rs/_img/artikli/2015/11/8_navika_vv.jpg,https://youtu.be/r4yRROEUd3s,Yes
"7 navika uspešnih ljudi ","Stiven Kavi ","Marija Desivojević Cvetković, Miša Lukić",https://www.delfi.rs/_img/artikli/2019/11/sedam_navika_veoma_uspesnih_ljudi_-_stiven_kavi_vv.jpg,https://youtu.be/r4yRROEUd3s,Yes
Sapijens,Yuval Noah Harari,"Dragan Lončar, Luka Trikić, Marija Desivojević Cvetković, Miša Lukić",https://www.laguna.rs/_img/korice/4534/sapijens-juval_noa_harari_v.jpg,https://youtu.be/r4yRROEUd3s,Yes
New leadership paradigm,"richard barrett ",Miša Lukić,"https://images-na.ssl-images-amazon.com/images/I/41LMYiUAijL._SX331_BO1,204,203,200_.jpg",https://youtu.be/r4yRROEUd3s,No
Business Genius,Peter Fisk,Miša Lukić,"https://images-na.ssl-images-amazon.com/images/I/31pucAKGrbL._SX218_BO1,204,203,200_QL40_ML2_.jpg",https://youtu.be/r4yRROEUd3s,No
12 pravila za život,Džordan Piterson,Ivan Minić,https://www.knjizare-vulkan.rs/files/thumbs/files/images/slike_proizvoda/thumbs_600/328477_600_600px.jpg,https://youtu.be/Zurok-eEPK8,Yes
Mit o preduzetništvu,Majkl E. Gerber,Ognjen Radić,https://www.delfi.rs/_img/artikli/knjige/26/v/delfi_mit_o_preduzetnistvu_majkl_e_gerber.jpg,https://youtu.be/gvUqjLeZA1U,Yes
Remarkable Retail,Steve Dennis,Vladan Janković,"https://images-na.ssl-images-amazon.com/images/I/41oteHF2xVL._SX331_BO1,204,203,200_.jpg",https://youtu.be/G71iN7XLBQg,No
Tihi Ljudi	,Suzan Kejn,Lazar Džamić,https://www.laguna.rs/_img/korice/3281/tihi_ljudi-suzan_kejn_v.jpg,,Yes
Amusing Ourselves to Death,Neil Postman,Lazar Džamić,"https://images-na.ssl-images-amazon.com/images/I/51ayZYs05ZL._SX324_BO1,204,203,200_.jpg",,No
"Prosvećeni svet ",Stiven Pinker,Marija Desivojević Cvetković,https://www.delfi.rs/_img/artikli/2019/03/prosveceni_svet_vv.jpg,https://youtu.be/BwbbHVbIR_s,Yes
Život 3.0,Maks Tegmark,Marija Desivojević Cvetković,https://www.delfi.rs/_img/artikli/2020/04/zivot_30_vv.jpg,https://youtu.be/BwbbHVbIR_s,Yes
Who Says Elephants Can't Dance?,Louis V. Gerstner Jr.,Marija Desivojević Cvetković,https://m.media-amazon.com/images/I/51DtPhyeSfL.jpg,https://youtu.be/BwbbHVbIR_s,No
Umetnost pobede,"Fil Najt ",Marija Desivojević Cvetković,https://www.delfi.rs/_img/artikli/2019/07/umetnost_pobede_vv.jpg,https://youtu.be/BwbbHVbIR_s,Yes
"Misliti, brzo i sporo
",Danijel Kaneman,"Dragan Lončar, Lazar Džamić, Marija Desivojević Cvetković",https://www.delfi.rs/_img/artikli/2019/03/misliti_brzo_i_sporo_vv.jpg,https://youtu.be/BwbbHVbIR_s,Yes
Winning,Jack Welch,Marija Desivojević Cvetković,https://m.media-amazon.com/images/I/5168G4UoVFL.jpg,https://youtu.be/BwbbHVbIR_s,No
"Emocionalna inteligencija
",Danijel Goleman,Marija Desivojević Cvetković,https://www.delfi.rs/_img/artikli/2020/07/emocionalna_inteligencija_vv.jpg,https://youtu.be/BwbbHVbIR_s,Yes
The Financial Numbers Game,Charles W. Mulford,Dejan Ćirković,"https://images-na.ssl-images-amazon.com/images/I/510CaqiZsuL._SX348_BO1,204,203,200_.jpg",,No
The Almanack of Naval Ravikant,Naval Ravikant,Luka Trikić,https://m.media-amazon.com/images/I/31EQXd8E9eL.jpg,https://youtu.be/4tsyCmNuxA4,No
"Nova zemlja ",Ekart Tol,Luka Trikić,https://images-na.ssl-images-amazon.com/images/I/71pFwFjhGfL.jpg,https://youtu.be/4tsyCmNuxA4,Yes
High Output Management,Andrew S. Grove,Vukan Simić,"https://images-na.ssl-images-amazon.com/images/I/41iWd4NazXL._SX322_BO1,204,203,200_.jpg",https://youtu.be/oQPWv3sRfng,No
"Shape up ",Ryan Singer,Vukan Simić,https://cdn.shopify.com/s/files/1/1099/2808/products/shape-up-square_1024x1024.jpg?v=1601482899,https://youtu.be/oQPWv3sRfng,No
Lean startup,"Erik Ris ",Vukan Simić,https://www.knjizare-vulkan.rs/files/watermark/files/images/slike_proizvoda/thumbs_w/332429_w.jpg,https://youtu.be/oQPWv3sRfng,Yes
An Elegant Puzzle: Systems of Engineering Management,"Will Larson ",Vukan Simić,"https://images-na.ssl-images-amazon.com/images/I/51aTO3pGp9L._SX336_BO1,204,203,200_.jpg",https://youtu.be/oQPWv3sRfng,No
Good to Great,Jim Collins,"Nedim Sabic, Saša Popović",https://delfi.rs/_img/artikli/2020/11/good_to_great_vv.jpg,https://www.youtube.com/watch?v=jchSgfMk8sM&t=6740s,No
The Tipping Point,Malcolm Gladwell,Nedim Sabic,https://delfi.rs/_img/artikli/2020/09/the_tipping_point_vv.jpg,https://www.youtube.com/watch?v=jchSgfMk8sM&t=6740s,No
"The 4
-Hour Workweek",Tim Ferriss,"Dragan Lončar, Nedim Sabic",https://m.media-amazon.com/images/I/51tRKb4SqFL._SY780_.jpg,https://www.youtube.com/watch?v=jchSgfMk8sM&t=6740s,Yes
Way of the turtle ,Curtis Faith ,,https://imgv2-1-f.scribdassets.com/img/word_document/479581925/original/785c7a1e34/1725720647?v=1 ,https://www.youtube.com/watch?v=QFt1EusI9KIž,No
Black Swan,Nassim Nicholas Taleb,Zoran Bogdanovic,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1714172313i/242472.jpg,https://www.youtube.com/watch?v=QFt1EusI9KIž,No
12 Rules for Life,Jordan Peterson,Srdjan Zirojevic,https://www.knjizare-vulkan.rs/files/thumbs/files/watermark/files/images/slike_proizvoda/thumbs_w/thumbs_1200/342717_w_1200_1200px.jpg.webp,https://www.youtube.com/watch?v=bislvYtQeDE,No
"Ime vetra
",Patrik Rotfus,Srdjan Zirojevic,https://www.laguna.rs/_img/korice/1533/ime_vetra-patrik_rotfus_v.jpg,https://www.youtube.com/watch?v=bislvYtQeDE,No
Počni sa zašto,Simon Sinek,Dragan Popović,https://kontrastizdavastvo.rs/__public/upload/2020/11/16/knjiga-pocni-sa-zasto-kontrast-izdavastvo-foto2-11483.jpg,https://youtu.be/9n4bvnuqfis?si=Rh9f8c5oquDKV2wv,Yes
Natprosečni,Malkom Gladvel,Dragan Popović,https://static.kupindoslike.com/Natprosecni-Malkolm-Gledvel_slika_L_147591045.jpg,https://youtu.be/9n4bvnuqfis?si=hCtKLlQ6PLOxZMc7,Yes
Bury My Heart at Conference Room B,Stan Slap,Dejan Cvetković,https://m.media-amazon.com/images/I/61eCLvNckyL.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQWnhCv3CdyXYq93b1IbYEdoxQS6YAM59l5aA&s,https://youtu.be/shLG0eO_hN4?si=kjQLViHkOM-VXF8p,No
Let’s Get Real or Let’s Not Play,Mahan Khalsa,Dejan Cvetković,https://d28hgpri8am2if.cloudfront.net/book_images/cvr9781442350960_9781442350960_hr.jpg,https://youtu.be/shLG0eO_hN4?si=ZBaGdQhwSAHH5AVI,No
"Three Horizons: The Patterning of Hope ",Bill Sharpe,Dejan Cvetković,https://www.triarchypress.net/uploads/1/4/0/0/14002490/335392094_orig.png,https://youtu.be/shLG0eO_hN4?si=IJQnd467P8kqgiH_,No
Originalni,Adam Grant,Dragan Lončar,https://www.laguna.rs/_img/korice/3279/originalni-adam_grant_v.jpg,https://www.youtube.com/watch?v=9n4fvsfDoes,Yes
"Homo Deus ",Yuval Noah Harari,Dragan Lončar,https://www.laguna.rs/_img/korice/3897/homo_deus_kratka_istorija_sutrasnjice-juval_noa_harari_v.jpg,https://youtu.be/9n4fvsfDoes?si=CNnSoVZuiseNaNOd,Yes
Sa pašnjaka do naučenjaka,Mihajlo Pupin,Dragan Lončar,https://delfi.rs/_img/artikli/2017/06/sa_pasnjaka_do_naucenjaka_vv.jpg,https://www.youtube.com/watch?v=9n4fvsfDoes,Yes
Osnove ekonomije,"Gregori Mankju ",Dragan Lončar,https://www.mikroknjiga.rs/slike2/953-246/953-246-020-9_k1.jpeg,https://youtu.be/9n4fvsfDoes?si=Wa7QFRk2w7fbC3eb,Yes
Strateški menadžment,"A. Thompson, A.J.Strickland. ",Dragan Lončar,https://www.knjizare-vulkan.rs/files/thumbs/files/watermark/files/images/slike_proizvoda/thumbs_w/thumbs_1200/245278_w_1200_1200px.jpg.webp,https://youtu.be/9n4fvsfDoes?si=PCcnccobbng3gKr7,Yes
Smart Business,Ming Zeng,Branislav Vujović,https://m.media-amazon.com/images/I/71ukczzbhvL._AC_UF1000.jpg,https://www.youtube.com/watch?v=oFluwFhlfq4,No
Elon Musk,Walter Isaacson,Saša Cvetojević,https://d28hgpri8am2if.cloudfront.net/book_images/onix/cvr9781982181284/elon-musk-9781982181284_hr.jpg,https://www.youtube.com/watch?v=dxrSvDmlUD0,Yes
Steve Jobs,Walter Isaacson,Saša Cvetojević,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1511288482i/11084145.jpg,https://www.youtube.com/watch?v=dxrSvDmlUD0,Yes
Up the organization,Robert Townsend,Uros Mikic,https://m.media-amazon.com/images/I/71z+cP3hltL._AC_UF1000.jpg,https://www.youtube.com/watch?v=nxCH1WDxQT0,No
The Culture Code,"Daniel Coyle ",Uros Mikic,https://m.media-amazon.com/images/I/71xGzjUAe7L._AC_UF1000.jpg,https://www.youtube.com/watch?v=nxCH1WDxQT0,No
Red Roulette,Desmond Shum,Vladimir Djukanovic,https://m.media-amazon.com/images/I/81FC6CEdW-L._AC_UF1000.jpg,https://www.youtube.com/watch?v=Glrq25xgeR8,No
Accounting,Michael Jones,Nemanja Antic,https://m.media-amazon.com/images/I/71ZeB13LU1L._AC_UF1000.jpg,https://www.youtube.com/watch?v=FkusBW6JMOI&t=8024s,No
Intelligent Investor,Benjamin Graham,Nemanja Antic,https://delfi.rs/_img/artikli/2021/01/the_intelligent_investor_revised_edition_vv.jpg,https://www.youtube.com/watch?v=FkusBW6JMOI&t=8024s,No
Digitalni Pre Marketing,Dragan Varagic,Nemanja Antic,https://cdn.kobo.com/book-images/d0c93e6d-ac30-4163-8164-96965adb58d4/1200/1200/False/digitalni-pre-marketing.jpg,https://www.youtube.com/watch?v=FkusBW6JMOI&t=8024s,No
The Everything Store,Brad Stone,Nemanja Antic,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1631792766i/17660462.jpg,https://www.youtube.com/watch?v=FkusBW6JMOI&t=8024s,No
Delivering Happiness,Tony Hsieh,Nemanja Antic,https://m.media-amazon.com/images/I/71Zl8jAA0wL._AC_UF1000.jpg,https://www.youtube.com/watch?v=FkusBW6JMOI&t=8024s,No
Zdravo Drustvo,Erich Fromm,Dragana Djermanovic,https://www.antikvarijat-phoenix.com/pic_nas/21848.jpg,https://www.youtube.com/watch?v=lS7wDrgInLE&t=4874s,No
The power of regret,Daniel Pink,Dragana Djermanovic,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1631506945l/58446721.jpg,https://www.youtube.com/watch?v=lS7wDrgInLE&t=4874s,No
Umetnost pobede,Phil Knight,Saša Popović,https://www.laguna.rs/_img/korice/4386/umetnost_pobede-fil_najt_v.jpg,https://www.youtube.com/watch?v=yP5d2QQvdj8&list=PLWauu1241JV2DiShK7MYxLYvGM0GZrmTD&index=8,No
Great by choice,Jimm Collins,Saša Popović,https://m.media-amazon.com/images/I/61YhcHOT0hL._AC_UF1000.jpg,https://www.youtube.com/watch?v=yP5d2QQvdj8&list=PLWauu1241JV2DiShK7MYxLYvGM0GZrmTD&index=8,No
Scaling up,Verne Harnish,Saša Popović,https://m.media-amazon.com/images/I/81A6T+JHdsL._AC_UF894.jpg,https://www.youtube.com/watch?v=yP5d2QQvdj8&list=PLWauu1241JV2DiShK7MYxLYvGM0GZrmTD&index=8,No
Najbogatiji čovek Vavilona,Dzordz Klejson,Saša Popović,https://www.knjizare-vulkan.rs/files/watermark/files/images/slike_proizvoda/thumbs_w/338689_w.jpg,https://www.youtube.com/watch?v=yP5d2QQvdj8&list=PLWauu1241JV2DiShK7MYxLYvGM0GZrmTD&index=8,No
Permission marketing,Seth Godin,Branimir Brkljac,https://m.media-amazon.com/images/I/61qhcXlLY3L._AC_UF1000.jpg,https://www.youtube.com/watch?v=0io6WEGBeR8&list=PLWauu1241JV2DiShK7MYxLYvGM0GZrmTD&index=3,No
Start with why,Simon Sinek,Branimir Brkljac,https://simonsinek.com/wp-content/uploads/2022/02/StartwithWHY-680x1024.jpeg,https://www.youtube.com/watch?v=0io6WEGBeR8&list=PLWauu1241JV2DiShK7MYxLYvGM0GZrmTD&index=3,No
Trust me im lying,Ryan Holiday,Branimir Brkljac,https://m.media-amazon.com/images/I/813zf5+Ug1L._AC_UF894.jpg,https://www.youtube.com/watch?v=0io6WEGBeR8&list=PLWauu1241JV2DiShK7MYxLYvGM0GZrmTD&index=3,No
Discipline is destiny,Ryan Holiday,Branimir Brkljac,https://m.media-amazon.com/images/I/81O5H7oVeQL._AC_UF1000.jpg,https://www.youtube.com/watch?v=0io6WEGBeR8&list=PLWauu1241JV2DiShK7MYxLYvGM0GZrmTD&index=3,No
The culture cycle,James Heskett,Vladislav Lalic,https://m.media-amazon.com/images/I/41vlsYCB9FL._AC_UF1000.jpg,https://www.youtube.com/watch?v=7MT8wXEOgls&list=PLWauu1241JV2DiShK7MYxLYvGM0GZrmTD&index=2,No
Nož,Vuk Drašković,Vladislav Lalic,https://www.laguna.rs/_img/korice/4540/noz-vuk_draskovic_v.jpg,https://www.youtube.com/watch?v=7MT8wXEOgls&list=PLWauu1241JV2DiShK7MYxLYvGM0GZrmTD&index=2,No
The New Confessions of an Economic Hit Man,John Perkins,Vladislav Lalic,https://delfi.rs/_img/artikli/2020/10/the_new_confessions_of_an_economic_hit_man_vv.jpg,https://www.youtube.com/watch?v=7MT8wXEOgls&list=PLWauu1241JV2DiShK7MYxLYvGM0GZrmTD&index=2,No
Alchemy,Rory sutherland,Dalibor Šumiga,https://cdn.penguin.co.uk/dam-assets/books/9780753556528/9780753556528-jacket-large.jpg,https://www.youtube.com/watch?v=zGflfjwPIxg&list=PLWauu1241JV2DiShK7MYxLYvGM0GZrmTD&index=1,No
Run away species,David Eagleman,Dalibor Šumiga,https://m.media-amazon.com/images/I/71pTG1rdJ6L._AC_UF1000.jpg,https://www.youtube.com/watch?v=zGflfjwPIxg&list=PLWauu1241JV2DiShK7MYxLYvGM0GZrmTD&index=1,No
Dont trust your gut,Seth Stephens Davidowitz,Dalibor Šumiga,https://m.media-amazon.com/images/I/81tuxGbEbbL._AC_UF350.jpg,https://www.youtube.com/watch?v=zGflfjwPIxg&list=PLWauu1241JV2DiShK7MYxLYvGM0GZrmTD&index=1,No
How to lie with statistics,Darrell Huff,Dalibor Šumiga,https://m.media-amazon.com/images/I/71ASFP9sBXL.jpg,https://www.youtube.com/watch?v=zGflfjwPIxg&list=PLWauu1241JV2DiShK7MYxLYvGM0GZrmTD&index=1,No
Antifragile: Things That Gain from Disorder,Taleb,Edo Mehić,https://m.media-amazon.com/images/I/61cmwTmON3L.jpg,https://www.youtube.com/watch?v=qWLWB9S8tuI&list=PLWauu1241JV2DiShK7MYxLYvGM0GZrmTD&index=16&t=2s,No
The Effective Executive,Peter Drucker,Branimir Gajić,https://m.media-amazon.com/images/I/61zH9mWg75L._AC_UF1000.jpg,https://www.youtube.com/watch?v=fYfTG8ORfnY&list=PLWauu1241JV2DiShK7MYxLYvGM0GZrmTD&index=15,No
Principles,Ray Dalio,Branimir Gajić,https://m.media-amazon.com/images/I/61LKD6scbfL._AC_UF1000.jpg,https://www.youtube.com/watch?v=fYfTG8ORfnY&list=PLWauu1241JV2DiShK7MYxLYvGM0GZrmTD&index=15,No
Zmaj i Ždral,Aleksandar Tešić,Dragan Tomić,https://c.cdnmp.net/129900401/p/l/7/zmaj-i-zdral-aleksandar-tesic~477157.jpg,https://www.youtube.com/watch?v=BETgWCf2n6w&list=PLWauu1241JV2DiShK7MYxLYvGM0GZrmTD&index=12,No
Tipping Piont,Malcom Gladwell,Dragan Tomić,https://www.hachettebookgroup.com/wp-content/uploads/2017/06/9780316316965.jpg,https://www.youtube.com/watch?v=BETgWCf2n6w&list=PLWauu1241JV2DiShK7MYxLYvGM0GZrmTD&index=12,No
The Hitchhiker's Guide to the Galaxy,Douglas Adams,Branko Đaković,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1404613595i/13.jpg,https://www.youtube.com/watch?v=hfneFP-rGIQ&list=PLWauu1241JV2DiShK7MYxLYvGM0GZrmTD&index=11,No
The Laws of Human Nature,Robert Greene,Vladimir Živaljević,https://m.media-amazon.com/images/I/61UPuQRgNKL._AC_UF1000.jpg,https://www.youtube.com/watch?v=0EZZwtWng8g&list=PLWauu1241JV2DiShK7MYxLYvGM0GZrmTD&index=9,No
Strategic Storytelling,Dave McKinsey,Miha Matlievski,https://m.media-amazon.com/images/I/51nhyltog9L._SL500_.jpg,https://www.youtube.com/watch?v=0R7_yODzZ_0&list=PLWauu1241JV2DiShK7MYxLYvGM0GZrmTD&index=8,No
Beyond Performance 2.0,Scott Keller and Bill Schaninger,Nikola Jurišić,https://m.media-amazon.com/images/I/81bJ5jKvYCL._AC_UF1000.jpg,https://www.youtube.com/watch?v=LaNHC6yMOpo&list=PLWauu1241JV2DiShK7MYxLYvGM0GZrmTD&index=7,No
The Culture Engine,Chris Edmonds,Nikola Jurišić,https://m.media-amazon.com/images/I/61En1blZwmL._AC_UF1000.jpg,https://www.youtube.com/watch?v=LaNHC6yMOpo&list=PLWauu1241JV2DiShK7MYxLYvGM0GZrmTD&index=7,No
Man's Search for Meaning,Viktor Frankl,"Nihad Softić, Nikola Jurišić",https://m.media-amazon.com/images/I/819Pl1nP0ZL._AC_UF894.jpg,https://www.youtube.com/watch?v=LaNHC6yMOpo&list=PLWauu1241JV2DiShK7MYxLYvGM0GZrmTD&index=7,No
The Nordic Secret,Lene Andersen,Nikola Jurišić,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1520139186i/38924529.jpg,https://www.youtube.com/watch?v=LaNHC6yMOpo&list=PLWauu1241JV2DiShK7MYxLYvGM0GZrmTD&index=7,No
Drive,Daniel Pink,Nihad Softić,https://www.danpink.com/wp-content/uploads/2012/10/Drive-scaled.jpg,https://www.youtube.com/watch?v=2HKBEVH8b38&list=PLWauu1241JV2DiShK7MYxLYvGM0GZrmTD&index=6,No
Grit,Angela Duckworth,Nihad Softić,https://m.media-amazon.com/images/I/71gPBwjsEfL._AC_UF1000.jpg,https://www.youtube.com/watch?v=2HKBEVH8b38&list=PLWauu1241JV2DiShK7MYxLYvGM0GZrmTD&index=6,No
Catching the Wolf of Wall Street,Jordan Belfort,Nihad Softić,https://m.media-amazon.com/images/I/51bJuBYkgtL._AC_UF1000.jpg,https://www.youtube.com/watch?v=2HKBEVH8b38&list=PLWauu1241JV2DiShK7MYxLYvGM0GZrmTD&index=6,No
